latitude,longitude,restaurant_id,district_id,city_id,name,street_address,area_address,district_address,region_address,category,cuisine,audience,average_rating,position_rating,price_rating,quality_rating,service_rating,space_rating,review_count,review_excellent_count,review_good_count,review_average_count,review_bad_count,view_count,like_count,checked_in_count,favourite_count,wanted_count,picture_count,status,time_clock,price_range,url
10.8586050000000,106.6202630000000,1000025969,14,217,Thủy - Bánh Xèo Mềm  - Tân Chánh Hiệp 35,"31 Tân Chánh Hiệp 35, P. Tân Chánh Hiệp",,Quận 12,TP. HCM,Ăn vặt/vỉa hè ,Món Miền Trung,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",,--,--,--,--,--,0,,,,,25,0,0,0,0,0,Đang mở cửa,16:00-22:00,Đang cập nhật,http://www.foody.vn/ho-chi-minh/thuy-banh-xeo-mem-tan-chanh-hiep-35.tklljs
10.8908188000000,106.6859805000000,763564,14,217,Chú Tèo Buffet Nướng 99K - Hà Huy Giáp,386 Hà Huy Giáp,Khu vực Thạnh Lộc ,Quận 12,TP. HCM,Quán nhậu,Món Việt,"Cặp đôi, Gia đình, Nhóm hội",8.6,9.0,8.6,8.0,8.2,9.1,14,4,10,0,0,3195,0,0,3,4,28,Đang mở cửa,16:00-22:00,99.000đ - 119.000đ,http://www.foody.vn/ho-chi-minh/chu-teo-buffet-nuong-99k-ha-huy-giap
10.8365706337757,106.6219125552822,786361,14,217,Bia Tươi 30 Mường Thương - Các Món Dân tộc Mường,"29/281 Song Hành Quốc Lộ 22, P. Tân Hưng Thuận",Khu vực Ngã 4 An Sương ,Quận 12,TP. HCM,Quán ăn ,Tây Nguyên,"Gia đình, Nhóm hội, Giới văn phòng",8.7,8.5,9.0,9.5,8.0,8.5,2,1,1,0,0,544,0,1,4,5,10,Đang mở cửa,10:00-22:00,15.000đ - 200.000đ,http://www.foody.vn/ho-chi-minh/bia-tuoi-30-muong-thuong-cac-mon-dan-toc-muong
10.8677233708548,106.6417408317077,295128,14,217,Bò Tơ Củ Chi 316 - Quán Nhậu,"316 Nguyễn Thị Đặng, P. Tân Thới Hiệp",Khu vực Metro ,Quận 12,TP. HCM,Quán nhậu,Món Việt,"Nhóm hội, Giới văn phòng",8.8,8.5,8.5,9.8,8.5,8.5,4,1,3,0,0,484,0,1,1,1,0,Chưa mở cửa,10:00-11:00,80.000đ - 200.000đ,http://www.foody.vn/ho-chi-minh/bo-to-cu-chi-316-quan-nhau
10.8495700000000,106.6153020000000,649114,14,217,Sơn Lâm - Dê Tươi & Các Món Lẩu,"45/91B Trung Mỹ Tây 2A, P. Trung Mỹ Tây",Khu vực Ngã 4 An Sương ,Quận 12,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",7.4,7.0,7.0,8.0,8.0,7.0,1,0,1,0,0,246,0,1,1,4,32,Đang mở cửa,15:00-23:00,8.000đ - 120.000đ,http://www.foody.vn/ho-chi-minh/son-lam-de-tuoi-cac-mon-lau
10.8875270000000,106.6325740000000,698051,14,217,229 - Quán Nhậu Bình Dân,"229 Hương Lộ 80B, P. Hiệp Thành",Khu vực Hiệp Thành ,Quận 12,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",8.0,8.0,8.0,8.0,8.0,8.0,1,0,1,0,0,868,0,2,0,1,5,Đang mở cửa,15:00-22:00,30.000đ - 150.000đ,http://www.foody.vn/ho-chi-minh/229-quan-nhau-binh-dan
10.8325190000000,106.6266830000000,904496,14,217,Ốc Cây Sộp,"2/25B Đông Hưng Thuận 45, KP. 5, P. Tân Hưng Thuận",Khu vực Ngã 4 An Sương ,Quận 12,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội",9.0,9.0,9.0,9.0,9.0,9.0,1,1,0,0,0,188,0,1,0,1,4,Đang mở cửa,13:00-23:00,30.000đ - 100.000đ,http://www.foody.vn/ho-chi-minh/oc-cay-sop
10.8423550000000,106.6186400000000,694550,14,217,Quán Nhậu Nhật Phương Trang,200 Song Hành,Khu vực Ngã 4 An Sương ,Quận 12,TP. HCM,Quán nhậu,Món Việt,"Sinh viên, Gia đình, Giới văn phòng",3.6,5.5,4.5,3.0,1.0,4.0,2,0,0,1,1,2004,0,2,0,0,0,Đang cập nhật,,30.000đ - 200.000đ,http://www.foody.vn/ho-chi-minh/quan-nhau-nhat-phuong-trang
10.8890390000000,106.6471950000000,668441,14,217,Sahara - Nướng & Lẩu,551/221 Lê Văn Khương,Khu vực Hiệp Thành ,Quận 12,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",8.0,7.0,8.0,8.0,9.0,8.0,1,0,1,0,0,398,0,0,0,3,5,Đang mở cửa,10:00-22:00,5.000đ - 130.000đ,http://www.foody.vn/ho-chi-minh/sahara-nuong-lau
10.8857800444759,106.6429527129089,870039,14,217,Quán Tân Cảng - Hải Sản Tươi Sống,"551/165 Lê Văn Khương, P. Hiệp Thành",Khu vực Hiệp Thành ,Quận 12,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội",8.2,7.0,9.0,9.0,9.0,7.0,1,0,1,0,0,268,0,0,0,1,3,Đang mở cửa,14:00-22:00,5.000đ - 159.000đ,http://www.foody.vn/ho-chi-minh/quan-tan-cang-hai-san-tuoi-song
